================================================================================
Matrix-Vector Multiplication Results (Floating Point)
================================================================================

Input Vector (8 elements):
  [0.5   0.125 0.25  1.    0.625 0.5   0.125 0.25 ]

Weight Matrix Shape: (376, 8)

Output Results (376 elements):
================================================================================

Row    Result (Float)       Q8.8 Fixed      Hex (Q8.8)     
162    -0.0275028750        -7              0xFFF9         
163    -0.0862558750        -22             0xFFEA         
164    -0.1128457500        -29             0xFFE3         
165    -0.1586170000        -41             0xFFD7         
166    0.1430615000         37              0x0025         
167    -0.0329836250        -8              0xFFF8         
168    0.1337957500         34              0x0022         
169    -0.0346508750        -9              0xFFF7         
170    -0.1265655000        -32             0xFFE0         
171    -0.1205622500        -31             0xFFE1         
172    0.0033126250         1               0x0001         
173    0.0323967500         8               0x0008         
174    0.1113003750         28              0x001C         
175    -0.1292932500        -33             0xFFDF         
176    -0.1055315000        -27             0xFFE5         
177    -0.1028851250        -26             0xFFE6         
178    0.0645073750         17              0x0011         
179    0.0511591250         13              0x000D         
180    -0.0215212500        -6              0xFFFA         
181    -0.0854320000        -22             0xFFEA         
182    0.1414011250         36              0x0024         
183    0.0054402500         1               0x0001         
184    -0.0125930000        -3              0xFFFD         
185    -0.1393253750        -36             0xFFDC         
186    -0.0875047500        -22             0xFFEA         
187    0.0295680000         8               0x0008         
188    0.0108916250         3               0x0003         
189    0.0013418750         0               0x0000         
190    -0.1908180000        -49             0xFFCF         
191    -0.0621340000        -16             0xFFF0         
192    0.0671798750         17              0x0011         
193    -0.1060931250        -27             0xFFE5         
194    0.1268656250         32              0x0020         
195    -0.0896237500        -23             0xFFE9         
196    0.0199920000         5               0x0005         
197    -0.1309731250        -34             0xFFDE         
198    0.0080607500         2               0x0002         
199    0.0279981250         7               0x0007         
200    -0.1561766250        -40             0xFFD8         
201    -0.0397242500        -10             0xFFF6         
202    -0.0256526250        -7              0xFFF9         
203    -0.0922540000        -24             0xFFE8         
204    0.0990433750         25              0x0019         
205    -0.0180232500        -5              0xFFFB         
206    -0.0567170000        -15             0xFFF1         
207    0.0572075000         15              0x000F         
208    0.1758900000         45              0x002D         
209    -0.0314965000        -8              0xFFF8         
210    0.1069605000         27              0x001B         
211    0.1189732500         30              0x001E         
212    0.1306001250         33              0x0021         
213    0.1100990000         28              0x001C         
214    -0.0605766250        -16             0xFFF0         
215    -0.0371820000        -10             0xFFF6         
216    0.0739408750         19              0x0013         
217    0.1297077500         33              0x0021         
218    0.1020831250         26              0x001A         
219    -0.0638821250        -16             0xFFF0         
220    -0.1069667500        -27             0xFFE5         
221    -0.1213847500        -31             0xFFE1         
222    -0.1228757500        -31             0xFFE1         
223    -0.0195218750        -5              0xFFFB         
224    0.0816410000         21              0x0015         
225    -0.0536461250        -14             0xFFF2         
226    -0.0484752500        -12             0xFFF4         
227    -0.0132633750        -3              0xFFFD         
228    -0.0516877500        -13             0xFFF3         
229    -0.0324016250        -8              0xFFF8         
230    0.0456282500         12              0x000C         
231    -0.0547566250        -14             0xFFF2         
232    0.1696100000         43              0x002B         
233    0.1638787500         42              0x002A         
234    -0.0259185000        -7              0xFFF9         
235    0.0502973750         13              0x000D         
236    -0.2061267500        -53             0xFFCB         
237    -0.0046136250        -1              0xFFFF         
238    0.0802326250         21              0x0015         
239    0.0738325000         19              0x0013         
240    -0.1797930000        -46             0xFFD2         
241    0.0248403750         6               0x0006         
242    0.0203203750         5               0x0005         
243    0.1469392500         38              0x0026         
244    -0.0027406250        -1              0xFFFF         
245    0.1131880000         29              0x001D         
246    -0.1047168750        -27             0xFFE5         
247    -0.0211362500        -5              0xFFFB         
248    0.0685200000         18              0x0012         
249    -0.0359017500        -9              0xFFF7         
250    -0.1684388750        -43             0xFFD5         
251    0.0357476250         9               0x0009         
252    0.1020682500         26              0x001A         
253    0.1011615000         26              0x001A         
254    -0.0560791250        -14             0xFFF2         
255    -0.1002313750        -26             0xFFE6         
256    -0.0253355000        -6              0xFFFA         
257    -0.1330416250        -34             0xFFDE         
258    -0.1622276250        -42             0xFFD6         
259    0.0737098750         19              0x0013         
260    0.0766220000         20              0x0014         
261    -0.0367576250        -9              0xFFF7         
262    -0.0365992500        -9              0xFFF7         
263    0.0169743750         4               0x0004         
264    -0.1055391250        -27             0xFFE5         
265    0.0204495000         5               0x0005         
266    -0.0936275000        -24             0xFFE8         
267    -0.0473427500        -12             0xFFF4         
268    0.0615086250         16              0x0010         
269    0.0477657500         12              0x000C         
270    -0.1002982500        -26             0xFFE6         
271    0.0949627500         24              0x0018         
272    -0.0018141250        0               0x0000         
273    -0.0405725000        -10             0xFFF6         
274    -0.1631718750        -42             0xFFD6         
275    0.0683168750         17              0x0011         
276    -0.0153527500        -4              0xFFFC         
277    0.0332411250         9               0x0009         
278    -0.1137632500        -29             0xFFE3         
279    0.0273010000         7               0x0007         
280    0.0244635000         6               0x0006         
281    0.0527040000         13              0x000D         
282    0.1155543750         30              0x001E         
