Index	X	Sigmoid	Recon	Hex
4711	4.601335	0.990061	0.990062	0x00FD74B
4712	4.602312	0.990071	0.990071	0x00FD755
4713	4.603288	0.990081	0.990081	0x00FD75F
4714	4.604265	0.990090	0.990090	0x00FD769
4715	4.605242	0.990100	0.990100	0x00FD773
4716	4.606218	0.990109	0.990109	0x00FD77D
4717	4.607195	0.990119	0.990119	0x00FD787
4718	4.608172	0.990128	0.990129	0x00FD791
4719	4.609149	0.990138	0.990138	0x00FD79B
4720	4.610125	0.990147	0.990148	0x00FD7A5
4721	4.611102	0.990157	0.990157	0x00FD7AF
4722	4.612079	0.990167	0.990167	0x00FD7B9
4723	4.613056	0.990176	0.990176	0x00FD7C3
4724	4.614032	0.990186	0.990186	0x00FD7CD
4725	4.615009	0.990195	0.990195	0x00FD7D7
4726	4.615986	0.990204	0.990205	0x00FD7E1
4727	4.616962	0.990214	0.990214	0x00FD7EB
4728	4.617939	0.990223	0.990223	0x00FD7F4
4729	4.618916	0.990233	0.990232	0x00FD7FE
4730	4.619893	0.990242	0.990242	0x00FD808
4731	4.620869	0.990252	0.990252	0x00FD812
4732	4.621846	0.990261	0.990261	0x00FD81C
4733	4.622823	0.990271	0.990271	0x00FD826
4734	4.623799	0.990280	0.990280	0x00FD830
4735	4.624776	0.990289	0.990290	0x00FD83A
4736	4.625753	0.990299	0.990299	0x00FD844
4737	4.626730	0.990308	0.990308	0x00FD84D
4738	4.627706	0.990318	0.990317	0x00FD857
4739	4.628683	0.990327	0.990327	0x00FD861
4740	4.629660	0.990336	0.990336	0x00FD86B
4741	4.630636	0.990346	0.990346	0x00FD875
4742	4.631613	0.990355	0.990355	0x00FD87E
4743	4.632590	0.990364	0.990364	0x00FD888
4744	4.633567	0.990374	0.990374	0x00FD892
4745	4.634543	0.990383	0.990383	0x00FD89C
4746	4.635520	0.990392	0.990392	0x00FD8A5
4747	4.636497	0.990401	0.990401	0x00FD8AF
4748	4.637474	0.990411	0.990411	0x00FD8B9
4749	4.638450	0.990420	0.990420	0x00FD8C3
4750	4.639427	0.990429	0.990429	0x00FD8CC
4751	4.640404	0.990439	0.990438	0x00FD8D6
